Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost of oils and fats [CoHD_of],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of animal-source foods [CoHD_asf],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of fruits [CoHD_f],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a healthy diet [CoHD],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA]
Food Prices for Nutrition 1.0,FPN 1.0,Uruguay,URY,2017,YR2017,3436645,0.1,0,0,2.7,0.8,0,0.416,0.288,0.094,3.104,2.151,0.701,0.18,1.29,1.63,2.62,0.022,1.42,0.158,0.2,0.123,0.322,0.175,0.068,0.487,0.615,0.378,0.989,0.537,4.43,3.073,2.129,0.694
Food Prices for Nutrition 1.0,FPN 1.0,Vietnam,VNM,2017,YR2017,94600643,30.7,15.1,1.2,32.4,15.9,1.3,1.052,0.737,0.286,3.622,2.539,0.985,0.32,0.52,2.03,1.32,0.053,0.96,0.085,0.33,0.162,0.215,0.155,0.189,0.305,1.183,0.582,0.771,0.556,3.68,3.586,2.514,0.975
Food Prices for Nutrition 1.0,FPN 1.0,West Bank and Gaza,PSE,2017,YR2017,4454805,1.1,0.2,0,25.4,4.4,1,0.845,0.445,0.284,3.376,1.779,1.135,0.19,0.29,1.74,0.87,0.037,1.07,0.056,0.337,0.194,0.169,0.208,0.122,0.186689715,1.127,0.649,0.564,0.695,2.97,3.342,1.761,1.124
Food Prices for Nutrition 1.0,FPN 1.0,Zambia,ZMB,2017,YR2017,16853608,14.8,13.8,10.7,87.6,81.8,63.8,1.821,1.405,0.755,3.116,2.404,1.292,0.16,0.29,1.11,0.78,0.042,0.46,0.075,0.294,0.264,0.205,0.121,0.13,0.232,0.906,0.814,0.631,0.372,2.41,3.085,2.38,1.279
Food Prices for Nutrition 1.0,FPN 1.0,Zimbabwe,ZWE,2017,YR2017,14236599,12,10.1,2.2,84.1,70.8,15.8,1.529,1.016,0.343,3.491,2.32,0.783,0.26,0.6,1.73,1.76,0.042,0.93,0.095,0.275,0.159,0.28,0.148,0.144,0.33,0.95,0.55,0.968,0.513,4.46,3.456,2.297,0.775
Food Prices for Nutrition 1.1,FPN 1.1,WORLD,WLD,2017,YR2017,7262444211,3125.1,2287.9,350.6,43.6,31.9,4.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.13,0.348,0.873,0.508,0.793,0.662,..,3.314,2.457,0.834
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2017,YR2017,2873457,0.9,0.3,0,31.3,8.9,0,0.425,0.266,0.078,3.529,2.206,0.647,0.15,0.74,2.01,1.18,0.023,1.52,0.112,0.305,0.152,0.179,0.231,0.089,0.441,1.204,0.599,0.707,0.911,5.45,3.952,2.471,0.725
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2017,YR2017,41136546,13.5,2.6,0.1,32.7,6.3,0.1,0.605,0.374,0.124,3.36,2.074,0.69,0.27,0.99,1.94,1.41,0.035,1.97,0.131,0.256,0.132,0.186,0.26,0.132,0.493,0.964,0.496,0.699,0.979,4.87,3.763,2.323,0.773
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2017,YR2017,30208628,24.5,21.4,10.8,81.2,70.8,35.6,0.972,0.726,0.315,3.863,2.885,1.253,0.2,0.47,1.21,1.43,0.038,0.85,0.091,0.234,0.194,0.277,0.166,0.166,0.395,1.011,0.839,1.199,0.717,3.08,4.327,3.231,1.403
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2017,YR2017,..,..,..,..,..,..,..,0.577,0.378,0.203,3.319,2.172,1.168,0.17,0.42,0.83,1.31,0.036,1.04,0.088,0.174,0.209,0.274,0.218,0.134,0.328,0.647,0.778,1.019,0.811,2.84,3.717,2.433,1.308
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2017,YR2017,91119,..,..,..,..,..,..,0.767,0.563,0.174,3.671,2.694,0.833,0.19,0.71,1.13,2.12,0.028,1.66,0.104,0.166,0.147,0.311,0.244,0.115,0.429,0.682,0.604,1.279,1.003,4.41,4.112,3.017,0.933
Food Prices for Nutrition 1.1,FPN 1.1,Argentina,ARG,2017,YR2017,44044811,3,1.8,0.1,6.8,4,0.2,0.395,0.31,0.077,2.983,2.344,0.582,0.25,1.42,1.44,1.52,0.035,1.58,0.196,0.2,0.139,0.21,0.219,0.117,0.656,0.669,0.463,0.703,0.733,5.12,3.341,2.625,0.652
Food Prices for Nutrition 1.1,FPN 1.1,Armenia,ARM,2017,YR2017,2851923,1.1,0.4,0,37.1,14.3,0.5,0.27,0.192,0.088,2.764,1.971,0.904,0.23,1.01,1.81,0.81,0.04,0.91,0.175,0.314,0.173,0.14,0.158,0.123,0.541,0.973,0.537,0.433,0.488,3.06,3.096,2.208,1.013
Food Prices for Nutrition 1.1,FPN 1.1,Aruba,ABW,2017,YR2017,105439,..,..,..,..,..,..,0.723,0.6,0.239,3.052,2.531,1.009,0.14,0.51,0.9,1.14,0.034,0.6,0.119,0.21,0.233,0.265,0.139,0.115,0.407,0.718,0.797,0.907,0.475,3.02,3.418,2.835,1.13
